glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
0732547d-1e5c-4be3-8079-18e9a9fd02ef-3a64161d-30c9-41b8-85e7-910b891e6520,2020-12-21,First new bill in 8 months from vendor 3a64161d-30c9-41b8-85e7-910b891e6520,vendor_not_seen_in_a_while,invoice,0732547d-1e5c-4be3-8079-18e9a9fd02ef,3a64161d-30c9-41b8-85e7-910b891e6520
7a07617b-a1c1-455f-b2f5-96bea90c9247-906a0cbb-b05a-4501-beff-40a1d3bd6399,2020-12-21,First new bill in 8 months from vendor 906a0cbb-b05a-4501-beff-40a1d3bd6399,vendor_not_seen_in_a_while,invoice,7a07617b-a1c1-455f-b2f5-96bea90c9247,906a0cbb-b05a-4501-beff-40a1d3bd6399
0bf92123-9ecd-4926-bc31-6f77a32e72e2-8617bc6b-a5c1-4441-b148-bb3268a1b4e6,2020-12-21,First new bill in 8 months from vendor 8617bc6b-a5c1-4441-b148-bb3268a1b4e6,vendor_not_seen_in_a_while,invoice,0bf92123-9ecd-4926-bc31-6f77a32e72e2,8617bc6b-a5c1-4441-b148-bb3268a1b4e6
3d01fa12-9eef-4a0a-b2d0-31c0b3f76532-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,First new bill in 8 months from vendor 185a63c2-5614-4c7c-ad7a-985ba6bd8195,vendor_not_seen_in_a_while,invoice,3d01fa12-9eef-4a0a-b2d0-31c0b3f76532,185a63c2-5614-4c7c-ad7a-985ba6bd8195
a402e241-1b10-478c-9d0d-ed5fb5d283d5-10eaea15-03c3-4d52-9120-9fa817ae4fd3,2020-12-21,First new bill in 8 months from vendor 10eaea15-03c3-4d52-9120-9fa817ae4fd3,vendor_not_seen_in_a_while,invoice,a402e241-1b10-478c-9d0d-ed5fb5d283d5,10eaea15-03c3-4d52-9120-9fa817ae4fd3
8117ee79-1404-4622-b1be-1a1e88a595ff-44ae301b-5ff0-4152-9481-9111527db8be,2020-12-21,First new bill in 8 months from vendor 44ae301b-5ff0-4152-9481-9111527db8be,vendor_not_seen_in_a_while,invoice,8117ee79-1404-4622-b1be-1a1e88a595ff,44ae301b-5ff0-4152-9481-9111527db8be
5c54850a-a897-4e63-b73c-6f9f36b8f506-10f69fbc-678c-4af1-8894-4f176c2b276c,2020-12-21,First new bill in 8 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,invoice,5c54850a-a897-4e63-b73c-6f9f36b8f506,10f69fbc-678c-4af1-8894-4f176c2b276c
cb557303-4f35-419d-a0e8-918a1e156fb8-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,First new bill in 8 months from vendor 7409fa50-fde9-4939-8efe-dc73cbd1e9c7,vendor_not_seen_in_a_while,invoice,cb557303-4f35-419d-a0e8-918a1e156fb8,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
0fa4a2b0-91eb-4127-9330-30eadf5a2c36-b93ecf73-001d-4f4e-a51d-8be42d9f6566,2020-12-21,First new bill in 8 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,vendor_not_seen_in_a_while,invoice,0fa4a2b0-91eb-4127-9330-30eadf5a2c36,b93ecf73-001d-4f4e-a51d-8be42d9f6566
2ed48c62-bc57-431e-a807-27e3b0c2e1da-3ae52557-3479-429d-b08c-3fd76b3f6976,2020-12-21,First new bill in 8 months from vendor 3ae52557-3479-429d-b08c-3fd76b3f6976,vendor_not_seen_in_a_while,invoice,2ed48c62-bc57-431e-a807-27e3b0c2e1da,3ae52557-3479-429d-b08c-3fd76b3f6976
97413a14-32ea-46cd-bb57-0ce495d0fe9e-c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,2020-12-21,First new bill in 8 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,invoice,97413a14-32ea-46cd-bb57-0ce495d0fe9e,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
cef88711-29f9-4528-b513-697451b55921-3765dbe9-971b-4584-806b-1c42411fa0c2,2020-12-21,First new bill in 8 months from vendor 3765dbe9-971b-4584-806b-1c42411fa0c2,vendor_not_seen_in_a_while,invoice,cef88711-29f9-4528-b513-697451b55921,3765dbe9-971b-4584-806b-1c42411fa0c2
90d81ad1-aa68-4178-b85b-fa49bf1ce7df-a96c5d60-7df0-4360-b714-02ef221e4bd0,2020-12-21,First new bill in 8 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,vendor_not_seen_in_a_while,invoice,90d81ad1-aa68-4178-b85b-fa49bf1ce7df,a96c5d60-7df0-4360-b714-02ef221e4bd0
